TransactionIndex,IcrRecordIndex,NumIcrRecordIndices,AlbarakaIndex,Number of ALB Indexes,GrandeLivreIndex,Number of GL Indexes,Date Discrepancy,Amount,Amount Discrepancy,Post Day,Post Month,Post Year,Value Day,Value Month,Value Year,libdesc,reftran,Bank Account,Bank Name,Bank Currency,GL Memo,GL Company
55,"[2695, 19152, 19706, 28774, 47450, 51620, 61165, 71226, 71244, 71530, 72572, 76888, 82673, 82924, 86984, 87519, 87931, 88470, 94481, 94649, 95244, 96977, 97196, 97694, 98113, 98661, 104646, 107725, 112283, 112410]",30,[55],1,[15164],1,2,-81381,,8,1,2009,8,1,2009,paiementcheque,2603966,7881190056211,TND Sodeps,TND,c 2603966 rgt/f.enakal,best tnd sodeps 5621
56,"[10650, 11706, 41493, 46292, 46379, 49240, 59203, 60984, 65434, 81559, 82595, 82867, 92803, 93476, 94484, 96371, 97243, 97338, 97434, 106903, 107212, 112529, 112582, 112615]",24,[56],1,[15170],1,-1,-2000.0,,8,1,2009,8,1,2009,paiementcheque,2603973,7881190056211,TND Sodeps,TND,c 2603973 rgt/cp stephano,best tnd sodeps 5621
57,"[349, 2276, 9337, 12298, 20008, 38196, 53324, 71059, 79185, 82064, 82332, 82934, 83493, 86588, 86684, 87990, 93879, 94761, 95350, 95395, 97387, 106819, 111026, 112132, 112603]",25,[57],1,[15166],1,0,-761.3,,8,1,2009,8,1,2009,paiementcheque,2603968,7881190056211,TND Sodeps,TND,c 2603968 rgt/f.sheraton,best tnd sodeps 5621
58,"[7582, 11645, 12333, 13071, 41599, 41899, 46928, 50690, 54159, 60478, 65103, 79772, 86193, 86318, 87231, 88111, 88713, 90636, 93460, 93893, 94218, 94326, 94441, 95355, 95424, 96236, 96359, 97275, 98157, 98621, 102402, 105104, 105699, 106870, 107815, 109607, 112039, 112052, 112131, 115076]",40,[58],1,[15172],1,-1,-160.0,,8,1,2009,8,1,2009,paiementcheque,2603972,7881190056211,TND Sodeps,TND,c 2603972 rgt/d.enregist.,best tnd sodeps 5621
59,"[2275, 8011, 10739, 12938, 35109, 46984, 57535, 59256, 67389, 71724, 71771, 75351, 81385, 86214, 86281, 88030, 88754, 93823, 96290, 97297, 97386, 97443, 104883, 105559, 105861, 106340, 111952, 112177, 112495]",29,[59],1,[15165],1,1,-240.0,,8,1,2009,8,1,2009,paiementcheque,2603967,7881190056211,TND Sodeps,TND,c 2603967 rgt/t.vehicules,best tnd sodeps 5621
60,"[11900, 18989, 19137, 19253, 20104, 30839, 40186, 43643, 43712, 53921, 61547, 81801, 82607, 82972, 85477, 86365, 86657, 87212, 87237, 87774, 87963, 92176, 94893, 95440, 95526, 96155, 96852, 105535, 106542, 112143, 112181, 112422, 119773, 121575]",34,[60],1,[15150],1,7,-10575.0,,9,1,2009,9,1,2009,paiementcheque,2604008,7881190056211,TND Sodeps,TND,c 2604008 rgt/t.vehicules,best tnd sodeps 5621
61,"[22691, 31142, 39242, 40465, 47145, 48447, 49779, 58393, 76980, 78545, 79366, 82550, 82582, 83074, 83102, 83281, 83292, 84649, 85507, 87628, 95164, 97732, 98136, 105333, 106781, 107267, 107808, 111849, 112093, 112178, 112211]",31,[61],1,[15174],1,3,-666.9,,12,1,2009,12,1,2009,paiementcheque,2603974,7881190056211,TND Sodeps,TND,c 2603974 rgt/f.sheraton,best tnd sodeps 5621
62,"[1320, 9934, 12816, 13662, 19423, 31084, 48083, 55649, 59308, 70580, 70993, 72361, 82272, 83358, 87108, 87524, 95115, 95631, 96099, 96395, 100535, 106472, 107293, 112258, 112266, 112345, 112380, 116964, 117687]",29,[62],1,[15151],1,11,-2520.0,,13,1,2009,13,1,2009,paiementcheque,2604009,7881190056211,TND Sodeps,TND,c 2604009 rgt/t.vehicules,best tnd sodeps 5621
63,"[529, 9284, 12808, 19177, 20016, 31052, 58956, 81147, 82379, 82650, 82810, 86630, 87810, 90313, 93934, 96688, 96933, 96941, 97347, 97445, 104270, 104818, 104835, 108897, 112001, 112115, 112261, 112510, 112601, 121934, 124989]",31,[63],1,[15160],1,8,-2160.0,,13,1,2009,13,1,2009,paiementcheque,2603960,7881190056211,TND Sodeps,TND,c 2603960 rgt/t.vehicules,best tnd sodeps 5621
64,"[8422, 8441, 9612, 18390, 43763, 46343, 47292, 57528, 73130, 78272, 83043, 87096, 87541, 95217, 95960, 96224, 96362, 96509, 97319, 98092, 106562, 106616, 107503, 112200, 112371, 112523, 117010]",27,[64],1,[15171],1,5,-17076.0,,14,1,2009,14,1,2009,paiementcheque,2603976,7881190056211,TND Sodeps,TND,c 2603976 rgt/l.bfg,best tnd sodeps 5621
65,"[8850, 9604, 10074, 14483, 16399, 19338, 32587, 44563, 56129, 60687, 69616, 77892, 86692, 86755, 92311, 96936, 97815, 97843, 98267, 104312, 106591, 111977, 112196, 112416, 112554, 120137]",26,[65],1,[15167],1,6,-324.3,,15,1,2009,15,1,2009,paiementcheque,2603979,7881190056211,TND Sodeps,TND,c 2603979 rgt/f.t.autorou,best tnd sodeps 5621
66,"[8982, 10513, 36408, 58881, 67801, 72461, 83007, 87595, 87782, 87993, 96491, 98044, 98129, 98385, 98680, 105000, 106406, 106681, 107305, 107402, 111993, 112138, 112390, 112425, 112445, 112483, 115112]",27,[66],1,[15149],1,0,-47305.91,,19,1,2009,19,1,2009,paiementcheque,2603980,7881190056211,TND Sodeps,TND,c 2603980 rgt/f.slvm,best tnd sodeps 5621
67,"[10079, 14535, 51182, 66517, 69345, 83111, 83268, 86264, 86815, 87142, 87218, 87259, 87651, 88122, 93008, 93637, 96349, 105815, 107487, 109621, 111961, 111969, 112129, 112427, 115096]",25,[67],1,[15169],1,11,-14641641,,20,1,2009,20,1,2009,paiementcheque,2603977,7881190056211,TND Sodeps,TND,c 2603977 rgt/l.bureau,best tnd sodeps 5621
68,"[1536, 13216, 13532, 14520, 16452, 43503, 49347, 56490, 59244, 76271, 81982, 87345, 87828, 88412, 88453, 93918, 95309, 97428, 97440, 98650, 100530, 104757, 105275, 109316, 111957, 112014, 112287, 112388, 112511]",29,[68],1,[15152],1,1,-4500.0,,21,1,2009,21,1,2009,paiementcheque,2603981,7881190056211,TND Sodeps,TND,c 2603981 av/equipfoire,best tnd sodeps 5621
69,"[14056, 20899, 33851, 36659, 46361, 47937, 49955, 51937, 56400, 57946, 58914, 60220, 86337, 87113, 88169, 88294, 91768, 93832, 94573, 97378, 105589, 105632, 111895, 111986, 112091, 112322]",26,[69],1,[15154],1,0,-80.0,,22,1,2009,22,1,2009,paiementcheque,2603983,7881190056211,TND Sodeps,TND,c 2603983 rgt/h.ambassade,best tnd sodeps 5621
70,"[19942, 33226, 43892, 49211, 61176, 72806, 73406, 75258, 77574, 87661, 88088, 88259, 88440, 92429, 95985, 96324, 96758, 104294, 105353, 105369, 105666, 106233, 111983, 112300, 112359, 115130]",26,[70],1,[15153],1,0,-1255.48,,22,1,2009,22,1,2009,paiementcheque,2603982,7881190056211,TND Sodeps,TND,c 2603982 rem/expences,best tnd sodeps 5621
71,"[8647, 9096, 30775, 43492, 44316, 57444, 69044, 72599, 74454, 76247, 79492, 82260, 83552, 95282, 96049, 96997, 98224, 98550, 98750, 101080, 104652, 105184, 108293, 111799, 112269, 112334, 112473]",27,[71],1,[15168],1,19,-677964,,28,1,2009,28,1,2009,paiementcheque,2603978,7881190056211,TND Sodeps,TND,c 2603978 rgt/t.vehicules,best tnd sodeps 5621
72,"[760, 7295, 8939, 9819, 48477, 59267, 61815, 71858, 77058, 82361, 82988, 84514, 88407, 88446, 92311, 93173, 94399, 94789, 94934, 95039, 95045, 96307, 96747, 96815, 96954, 97236, 97717, 98270, 98288, 98589, 100912, 105920, 107174, 107595, 109308, 109684, 110755, 112102, 124967]",39,[72],1,[15173],1,24,-767.22,,2,2,2009,2,2,2009,paiementcheque,2603970,7881190056211,TND Sodeps,TND,c 2603970 rgt/f.planet,best tnd sodeps 5621
73,"[831, 18230, 28724, 35926, 43427, 47399, 62292, 72512, 73141, 78868, 82958, 83352, 86190, 87501, 87551, 88089, 88333, 91553, 92930, 94103, 98044, 98376, 100907, 105330, 106298, 107528, 107875, 112214, 112594]",29,[73],1,[15155],1,8,-484.4,,5,2,2009,5,2,2009,paiementcheque,2603984,7881190056211,TND Sodeps,TND,c 2603984 rgt/quit.steg,best tnd sodeps 5621
74,,,"[74, 75]",2,[],0,7,-5.0,,24,5,2010,31,5,2010,ALBANNPAIR,,7881190056211,TND Sodeps,TND,,
75,,,"[76, 77]",2,[],0,14,0.9,,31,5,2010,14,6,2010,ALBANNPAIR,,7881190056211,TND Sodeps,TND,,
76,"[12225, 79205, 114527, 114531]",4,[78],1,[14974],1,0,2195109,,22,12,2011,22,12,2011,virementrecu,,7881190056211,TND Sodeps,TND,virt/sodeps $,best tnd sodeps
77,"[44028, 90354]",2,[79],1,[14975],1,1,-2652.0,,29,12,2011,29,12,2011,virtemiscomp,,7881190056211,TND Sodeps,TND,virement/salaires 12/11,best tnd sodeps
78,"[11217, 17044, 29165, 54652, 65936, 72030, 72438, 121262, 126771, 126783, 129432]",11,[80],1,[14978],1,6,-360.0,,11,1,2012,11,1,2012,paiementcheque,3163741,7881190056211,TND Sodeps,TND,c3163741 rgt/f.tuv,al baraka tnd sodeps
79,"[13512, 15528, 19101, 51918, 58596, 68348, 78029, 79465, 87607, 87794, 90015, 92800, 94343, 97379, 104489, 106333, 106575, 107388, 111928, 112026, 124872]",21,[81],1,[14977],1,0,500.0,,11,1,2012,11,1,2012,virement,,7881190056211,TND Sodeps,TND,alim.usd/ctd 328.95$,al baraka tnd sodeps
80,"[13376, 24861, 46520, 56344, 60106, 65518, 79411, 124032]",8,[82],1,[14979],1,15,-55.4,,20,1,2012,20,1,2012,paiementcheque,3163742,7881190056211,TND Sodeps,TND,c3163742 rgt/quit.sonede,al baraka tnd sodeps
81,"[8206, 54039, 59695, 69593, 75173]",5,[83],1,[14981],1,-1,2101982,,12,3,2012,12,3,2012,virementrecu,,7881190056211,TND Sodeps,TND,virt/sodeps,al baraka tnd sodeps
82,"[13833, 49454, 57898, 69872, 76723, 89885, 91109, 93864, 97524, 108722]",10,"[84, 85]",2,[14982],1,1,-9.44,,30,3,2012,1,4,2012,BANKCHARGE1,,7881190056211,TND Sodeps,TND,frais bancaires,al baraka tnd sodeps
83,"[8308, 15977, 19549, 39262, 50243, 57054, 66445, 73686, 73749, 80879, 89354]",11,[86],1,[14983],1,0,5879.28,,11,6,2012,11,6,2012,virementrecu,,7881190056211,TND Sodeps,TND,virt/sodeps,al baraka tnd sodeps
84,"[19950, 29711, 37978, 50936, 57500, 76541, 78599]",7,"[87, 88]",2,[14984],1,1,-9.44,,29,6,2012,1,7,2012,BANKCHARGE1,,7881190056211,TND Sodeps,TND,frais bancaires,al baraka tnd sodeps
85,"[55857, 72468, 73740]",3,"[89, 90]",2,[14980],1,0,-9.44,,28,9,2012,1,10,2012,BANKCHARGE1,,7881190056211,TND Sodeps,TND,frais bancaire,al baraka tnd sodeps
86,,,[91],1,[],0,0,-1.44,,31,12,2012,1,1,2013,tva,,7881190056211,TND Sodeps,TND,,
87,,,[92],1,[],0,0,-8.0,,31,12,2012,1,1,2013,fraisdetenuedel,,7881190056211,TND Sodeps,TND,,
88,,,[93],1,[],0,0,0.0,,23,4,2010,23,4,2010,INITIALBALANCE,,7881190056212,MARETAP,TND,,
89,,,[94],1,[],0,0,12520.03,,26,4,2010,26,4,2010,MARETAPAMALGAM,,7881190056212,MARETAP,TND,,
90,,,"[95, 96]",2,[],0,7,-5.0,,24,5,2010,31,5,2010,ALBANNPAIR,,7881190056212,MARETAP,TND,,
91,,,"[97, 99]",2,[],0,14,0.9,,31,5,2010,14,6,2010,ALBANNPAIR,,7881190056212,MARETAP,TND,,
92,"[12150, 30465, 39685, 47887, 49654, 69590, 70612]",7,[98],1,[14636],1,0,-1800.0,,14,6,2010,14,6,2010,paiementcheque,,7881190056212,MARETAP,TND,c 3163691 avance/expats,best tnd maretap
93,"[32376, 47265, 49130, 56540, 75268, 108295, 122113]",7,[100],1,[14638],1,2,-802.6,,16,6,2010,16,6,2010,paiementcheque,,7881190056212,MARETAP,TND,c 3163693 rgt/f.maxi mac,best tnd maretap
94,"[10001, 33214, 47074, 49311, 50375, 62710, 71407, 107318]",8,[101],1,[14637],1,3,-3420.3,,17,6,2010,17,6,2010,paiementcheque,,7881190056212,MARETAP,TND,c 3163692 rgt/f.h.regency,best tnd maretap
95,"[12117, 16643, 47953, 67678, 72946, 86481]",6,[102],1,[14639],1,9,-1891775,,23,6,2010,23,6,2010,paiementcheque,,7881190056212,MARETAP,TND,c 3163694 rgt/f.parenin,best tnd maretap
96,"[1008, 31067, 32028, 45044, 46909, 61096, 76901, 85617, 97565]",9,[103],1,[14640],1,0,21342873,,20,8,2010,20,8,2010,virementrecu,,7881190056212,MARETAP,TND,virt/maretap 14440.21$,best tnd maretap
97,"[15625, 28604, 29838, 45012, 63345, 88422, 99035]",7,[104],1,[14649],1,4,3537814,,7,9,2010,7,9,2010,encaissement,2069784,7881190056212,MARETAP,TND,verst cheque ass.star,best tnd maretap
98,"[15625, 28604, 29838, 45012, 63345, 88422, 99035]",7,[105],1,[14650],1,4,-0.6,,7,9,2010,7,9,2010,commission,2069784,7881190056212,MARETAP,TND,frais/verst,best tnd maretap
99,"[12359, 14118, 19443, 85849]",4,[106],1,[14642],1,0,-250.0,,28,9,2010,28,9,2010,paiementcheque,3163696,7881190056212,MARETAP,TND,c3163696 rgt/f.ben jannet,best tnd maretap
100,"[24247, 32903, 65633, 79925, 87309]",5,[107],1,[14643],1,0,-2000.0,,28,9,2010,28,9,2010,paiementcheque,3163697,7881190056212,MARETAP,TND,c3163697 avance bob fox,best tnd maretap
101,"[41473, 97771]",2,[108],1,[14641],1,0,-800.0,,28,9,2010,28,9,2010,paiementcheque,3163695,7881190056212,MARETAP,TND,c3163695 rgt/f.h.ben taleb,best tnd maretap
102,"[40565, 56480, 71566, 72063, 104816]",5,[109],1,[14646],1,0,-6828.22,,29,9,2010,29,9,2010,paiementcheque,3163700,7881190056212,MARETAP,TND,c3163700 rgt/avance expats,best tnd maretap
103,"[30369, 43719, 49138, 72604, 92334, 127181, 127863]",7,[110],1,[14644],1,5,-598.9,,4,10,2010,4,10,2010,paiementcheque,3163698,7881190056212,MARETAP,TND,c3163698 rgt/quit.steg,best tnd maretap
104,"[47281, 47636, 76073, 78132, 103920, 108093]",6,[111],1,[14647],1,5,-137.6,,4,10,2010,4,10,2010,paiementcheque,3163701,7881190056212,MARETAP,TND,c3163701 rgt/quit.sonede,best tnd maretap
105,"[770, 35205, 48372, 72209, 77711, 127888]",6,[112],1,[14645],1,6,-4279816,,5,10,2010,5,10,2010,paiementcheque,3163699,7881190056212,MARETAP,TND,c3163699 rgt/gsm 04+06/10,best tnd maretap
106,"[25018, 54630, 69798, 76036, 102902]",5,[113],1,[14648],1,7,-1000.0,,6,10,2010,6,10,2010,paiementcheque,3163702,7881190056212,MARETAP,TND,c3163702 rgt/dons club esc,best tnd maretap
107,"[56159, 69462, 75366, 98230]",4,[114],1,[14627],1,6,-344009,,15,11,2010,15,11,2010,paiementcheque,3163703,7881190056212,MARETAP,TND,c3163703 rgt/f.map,best tnd maretap
116,"[40565, 56480, 69750, 71566, 72063, 104816]",6,[123],1,[14652],1,4,-177.3,,7,10,2011,7,10,2011,paiementcheque,3163704,7881190056212,MARETAP,TND,c3163704 rgt/f.g-tulip,best tnd maretap
117,"[2731, 11172, 49349, 69134, 72785, 74657, 75189, 93795, 125124, 127959]",10,[124],1,[14655],1,0,140398.8,,15,3,2012,15,3,2012,virementrecu,,7881190056212,MARETAP,TND,virt/sawan resil.contrat,al baraka tnd maretap
118,"[12673, 46811, 50340, 52305, 56336, 56804, 59223, 62247, 68953, 74086]",10,[125],1,[14661],1,1,-6000.0,,16,3,2012,16,3,2012,paiementcheque,3163713,7881190056212,MARETAP,TND,c3163713 rgt/prets personnels,al baraka tnd maretap
119,"[11005, 11247, 53463, 54650, 56622, 69421, 75968]",7,[126],1,[14660],1,1,-15391749,,16,3,2012,16,3,2012,paiementcheque,3163712,7881190056212,MARETAP,TND,c3163712 avances/expats,al baraka tnd maretap
120,"[10819, 13364, 44850, 51277, 58098, 74594, 78590, 95485]",8,[127],1,[14659],1,1,-30000.0,,16,3,2012,16,3,2012,paiementcheque,3163711,7881190056212,MARETAP,TND,c3163711 rgt/stc fathi,al baraka tnd maretap
121,"[8064, 8081, 8254, 52287, 56447, 69266, 76494, 81822, 84427, 90326]",10,[128],1,[14657],1,4,-1080.0,,19,3,2012,19,3,2012,paiementcheque,3163707,7881190056212,MARETAP,TND,c3163707 rgt/f.servimax,al baraka tnd maretap
