OcrRecordIndex,TransactionIndex,NumTransactionIndices,Document_Type,Amount,Company,Day,Month,Year,Document_Number,PurchaseOrder_Number,Cheque_Number
126,[11531],1,Cheque Stub,18715600,El Bezi Transport,24,8,2010,3108964,NoPurchaseOrderNumberField,NoChequeNumberField
127,[11685],1,Cheque Stub,3880000,BECT,24,2,2010,3108965,NoPurchaseOrderNumberField,NoChequeNumberField
128,[11655],1,Cheque Stub,2277255,PSS,24,2,2010,3108966,NoPurchaseOrderNumberField,NoChequeNumberField
129,[11562],1,Cheque Stub,4550868,Bereau Plus,24,2,2010,3108969,NoPurchaseOrderNumberField,NoChequeNumberField
130,[11661],1,Cheque Stub,9055508,ETS,24,2,2010,3108970,NoPurchaseOrderNumberField,NoChequeNumberField
131,[11672],1,Cheque Stub,315000,Bali Lassaad,24,2,2010,3108974,NoPurchaseOrderNumberField,NoChequeNumberField
132,[11678],1,Cheque Stub,1021955,TIC,19,8,2010,3108955,NoPurchaseOrderNumberField,NoChequeNumberField
140,[11688],1,Cheque Stub,280000,Huissier Notaire Kochti Ahmed,16,2,2010,3108899,NoPurchaseOrderNumberField,NoChequeNumberField
141,[11855],1,Cheque Stub,MISSING,MISSING NAME,NaN,NaN,NaN,3108900,NoPurchaseOrderNumberField,NoChequeNumberField
142,[11697],1,Cheque Stub,4240425,Euro Tech Maintenance & Services Informatiques,10,3,2010,3108902,NoPurchaseOrderNumberField,NoChequeNumberField
144,[11695],1,Cheque Stub,MISSING,GSM GSM House,NaN,NaN,NaN,3108897,NoPurchaseOrderNumberField,NoChequeNumberField
146,[11691],1,Cheque Stub,2009939,Taxe Douanes,15,3,2010,3108917,NoPurchaseOrderNumberField,NoChequeNumberField
147,[11721],1,Cheque Stub,MISSING,SNDP,NaN,NaN,NaN,3108918,NoPurchaseOrderNumberField,NoChequeNumberField
148,[11718],1,Cheque Stub,4425669,Avance Exports,25,3,2010,3108921,NoPurchaseOrderNumberField,NoChequeNumberField
149,[11861],1,Cheque Stub,475600,UNREADABLE NAME,29,3,2010,3108926,NoPurchaseOrderNumberField,NoChequeNumberField
150,[11860],1,Cheque Stub,7387500,Equip TP,27,3,2010,3108925,NoPurchaseOrderNumberField,NoChequeNumberField
175,[11172],1,Cheque Stub,MISSING,UNREADABLE NAME,28,12,2009,3108743,NoPurchaseOrderNumberField,NoChequeNumberField
176,[11324],1,Cheque Stub,2590300,Maxi Mac,11,1,2010,3108758,NoPurchaseOrderNumberField,NoChequeNumberField
177,[11354],1,Cheque Stub,MISSING,CNSS,20,1,2010,3108765,NoPurchaseOrderNumberField,NoChequeNumberField
178,[11703],1,Cheque Stub,1000000,Avance,23,3,2010,3108847,NoPurchaseOrderNumberField,NoChequeNumberField
179,[11717],1,Cheque Stub,131100,Sonede Bureau,NaN,NaN,NaN,3108851,NoPurchaseOrderNumberField,NoChequeNumberField
180,[11853],1,Cheque Stub,MISSING,Promogro,NaN,NaN,NaN,3108852,NoPurchaseOrderNumberField,NoChequeNumberField
181,[11864],1,Cheque Stub,4256000,MSA,NaN,NaN,NaN,3108863,NoPurchaseOrderNumberField,NoChequeNumberField
182,[12021],1,Cheque Stub,MISSING,Sausse Telecom,NaN,NaN,NaN,3195734,NoPurchaseOrderNumberField,NoChequeNumberField
183,[12020],1,Cheque Stub,8000000,Pret Personnel,4,1,2010,3195735,NoPurchaseOrderNumberField,NoChequeNumberField
184,[12022],1,Cheque Stub,3578446,Speed Commerce and Distribution,5,5,2010,3195738,NoPurchaseOrderNumberField,NoChequeNumberField
185,[12029],1,Cheque Stub,163546,CPT Raicomeaf,7,5,2010,3195744,NoPurchaseOrderNumberField,NoChequeNumberField
186,[12033],1,Cheque Stub,MISSING,Ben Rodhane,NaN,NaN,NaN,3195740,NoPurchaseOrderNumberField,NoChequeNumberField
188,[12049],1,Cheque Stub,4442609,Assurance,NaN,NaN,NaN,3195755,NoPurchaseOrderNumberField,NoChequeNumberField
190,[12048],1,Cheque Stub,3073416,General Froid,NaN,NaN,NaN,3195771,NoPurchaseOrderNumberField,NoChequeNumberField
192,[12075],1,Cheque Stub,824400,Gopher,17,5,2010,3195774,NoPurchaseOrderNumberField,NoChequeNumberField
193,[12066],1,Cheque Stub,309700,Maxi Mac,18,5,2010,3195775,NoPurchaseOrderNumberField,NoChequeNumberField
194,[12063],1,Cheque Stub,15669470,Divona Telecom,18,5,2010,3195777,NoPurchaseOrderNumberField,NoChequeNumberField
195,[12057],1,Cheque Stub,1140000,Avance Exports,21,5,2010,3195778,NoPurchaseOrderNumberField,NoChequeNumberField
197,[12074],1,Cheque Stub,10846400,Salaires,28,5,2010,3195792,NoPurchaseOrderNumberField,NoChequeNumberField
198,[12077],1,Cheque Stub,9683646,GSM GSM House,27,5,2010,3195786,NoPurchaseOrderNumberField,NoChequeNumberField
200,[12099],1,Cheque Stub,12705335,All Logistics,2,6,2010,3195799,NoPurchaseOrderNumberField,NoChequeNumberField
201,[12101],1,Cheque Stub,2093040,General Froid,2,6,2010,3195800,NoPurchaseOrderNumberField,NoChequeNumberField
202,[12688],1,Cheque Stub,1389150,Colman,2,6,2010,3195801,NoPurchaseOrderNumberField,NoChequeNumberField
203,[12081],1,Cheque Stub,1000000,Dons Amb. Canada,1,6,2010,3195796,NoPurchaseOrderNumberField,NoChequeNumberField
204,[12084],1,Cheque Stub,350300,Otosure Entretien Auto,2,6,2010,3195797,NoPurchaseOrderNumberField,NoChequeNumberField
207,[12123],1,Cheque Stub,1853925,Omu Nicanique,2,6,2010,3195804,NoPurchaseOrderNumberField,NoChequeNumberField
208,[12118],1,Cheque Stub,1074210,EHEN,9,6,2010,3195819,NoPurchaseOrderNumberField,NoChequeNumberField
209,[12115],1,Cheque Stub,823885,Express Engineering Services,9,6,2010,3195820,NoPurchaseOrderNumberField,NoChequeNumberField
210,[12122],1,Cheque Stub,246550,ETS Bali Lassaad,2,6,2010,3195803,NoPurchaseOrderNumberField,NoChequeNumberField
212,"[16122, 4672]",2,Invoice/Facture,3323800,Bureau d'Etude de la Topographie et de la Cartographie,NaN,5,2007,MISSING,MISSING,NoChequeNumberField
249,,,Invoice/Facture,28691.80,ENI Tunisia BV Succursale de Tunis,20,11,2008,SOL/SRO/00340/08,500305,NoChequeNumberField
250,"[6000, 17110, 5005, 16606]",4,Invoice/Facture,25488.74,Pioneer Natural Resources Tunisia LTD,2,6,2008,SOL/WT/00167/08,"Master Service Contract dated October 10th,2006",NoChequeNumberField
252,"[17259, 1422, 11722, 4188]",4,Invoice/Facture,952008,Ariana Logistics,25,3,2008,1575,MISSING,NoChequeNumberField
254,"[5819, 2018, 18750, 2724]",4,Invoice/Facture,68623.50,ENI Tunisia BV Succursale de Tunis,28,5,2008,SOL/WL/00156/08,500305,NoChequeNumberField
255,"[17421, 662, 18805, 5049]",4,Invoice/Facture,601600,Ariana Logistics,21,8,2008,1794,MISSING,NoChequeNumberField
256,"[2011, 14316, 5851, 2696]",4,Invoice/Facture,28118.68,Pioneer Natural Resources Tunisia LTD,23,5,2008,sol/wt/00147/08,"master service contract dated october 10th,2006",NoChequeNumberField
257,,,Invoice/Facture,14360.00,ENI Tunisia BV Succursale de Tunis,20,11,2008,SOL/WL/00320/08,500305,NoChequeNumberField
258,,,Invoice/Facture,36142.00,ENI Tunisia BV Succursale de Tunis,20,11,2008,SOL/WL/00319/08,500305,NoChequeNumberField
259,"[19870, 12291, 12285, 2760, 19385, 1968]",6,Invoice/Facture,12291620,Thyna Petroleum Services,20,5,2008,sol/wt/00142/08,MSC dated 3rd january 2000 amendment#8,NoChequeNumberField
261,"[18779, 1994, 12280, 2690, 14190, 3789]",6,Invoice/Facture,7290.00,ENI Tunisia BV Succursale de Tunis,13,5,2008,Sol/WT/00130/08,500288 de well testing,NoChequeNumberField
263,"[14312, 1985, 18781, 5763, 2678, 17673]",6,Invoice/Facture,18964.00,ENI Tunisia BV Succursale de Tunis,13,5,2008,SOL/WL/00126/08,500305,NoChequeNumberField
266,"[1819, 14315, 9732, 133, 2580]",5,Invoice/Facture,296983.05,Pioneer Natural Resources Tunisia LTD,21,4,2008,Sol/epf/00104/08,"master service contract dated may 02,2007",NoChequeNumberField
267,[19886],1,Invoice/Facture,2204.24,Sodeps Bureau d'Order Central,3,10,2008,sol/wl/00276/08,MISSING,NoChequeNumberField
269,,,Invoice/Facture,80790.00,ENI Tunisia BV Succursale de Tunis,31,12,2008,SOL/WT/00701/108,500288,NoChequeNumberField
275,"[18515, 6295, 6296, 6297, 6298, 6299, 6300, 6301, 6302, 6303, 6304, 6305, 6306, 6307, 19844, 6310, 6311, 6312, 6313, 6314, 6315, 6316, 6317, 6318, 6319, 6320, 6321, 6322, 6323, 6324, 6325, 6326, 6327, 6328, 6329, 6330, 6331, 6332, 6333, 6334, 6335, 6336, 6337, 6338, 6339, 6340, 6341, 6342, 6343, 6344, 6345, 6346, 17470]",53,Invoice/Facture,133300,Ariana Logistics,29,7,2008,1758,MISSING,NoChequeNumberField
283,"[13017, 18194]",2,Invoice/Facture,1266118,Ariana Logistics,6,10,2008,1829,MISSING,NoChequeNumberField
286,"[13040, 18188, 17468]",3,Receipt,163300,Golden Tulip,8,10,2008,98692,NoPurchaseOrderNumberField,NoChequeNumberField
289,"[19605, 13620, 17945, 3141]",4,Receipt,13000,Sangho Facture Restaurant,NaN,NaN,NaN,592,NoPurchaseOrderNumberField,NoChequeNumberField
290,"[15192, 10925, 19825]",3,Invoice/Facture,2057300,Promedia,24,10,2008,FCS08-1817 ,MISSING,NoChequeNumberField
291,"[15164, 11114]",2,Invoice/Facture,40000,Bureau d'Etudes Conseils Techniques,19,9,2008,5381,MISSING,NoChequeNumberField
292,"[15183, 10962]",2,Invoice/Facture,220000,Bureau d'Etudes Conseils Techniques,8,10,2008,5399,MISSING,NoChequeNumberField
293,"[15585, 4161, 1373]",3,Invoice/Facture,97090,Bureau Plus,28,9,2007,646,MISSING,NoChequeNumberField
294,"[17744, 19229, 3293, 9197, 2194, 15301]",6,Invoice/Facture,4000,Sangho Tataouine,9,10,2008,BS/7799,MISSING,NoChequeNumberField
295,"[4147, 1410, 15574]",3,Invoice/Facture,3422300,Destination Tourisme & Voyages,27,2,2007,557,MISSING,NoChequeNumberField
296,"[14817, 10793, 18169]",3,Invoice/Facture,510300,STE Net Phone SARL,10,10,2008,FACH9637,MISSING,NoChequeNumberField
297,"[3147, 13761, 516]",3,Receipt,48852,Economic Auto,8,1,2007,07D00057,NoPurchaseOrderNumberField,NoChequeNumberField
298,"[4135, 1354, 2340, 3342]",4,Invoice/Facture,501985,Economic Auto,19,2,2007,07D00444,4118,NoChequeNumberField
299,"[1369, 2379, 3357, 4144]",4,Invoice/Facture,370740,Economic Auto,15,2,2007,07D00410,4118,NoChequeNumberField
300,"[1343, 2331, 3326, 4123]",4,Invoice/Facture,722460,ESPA,23,2,2007,34,MISSING,NoChequeNumberField
301,"[18151, 14827, 5188, 18869]",4,Invoice/Facture,1942610,Orascom Telecom Tunisie SA,30,9,2008,2220000001534180,MISSING,NoChequeNumberField
310,,,Invoice/Facture,2438300,Destination Tourisme & Voyages,7,10,2008,3282,MISSING,NoChequeNumberField
311,[6379],1,Invoice/Facture,71800,Sangho Privilege Tataouine,10,10,2008,2824,MISSING,NoChequeNumberField
312,[8769],1,Receipt,1144000,Amor Dellel,30,12,2007,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
313,[15243],1,Invoice/Facture,103944,Promogro,4,11,2008,01-002-011-00197907,MISSING,NoChequeNumberField
315,[13041],1,Invoice/Facture,1710000,Bureau d'Etude Lassiret Tijani,NaN,NaN,NaN,MISSING,MISSING,NoChequeNumberField
317,[11320],1,Invoice/Facture,2723141,Economic Auto,3,12,2007,07D03194,306,NoChequeNumberField
323,"[17819, 9919, 14173, 17360, 5718, 12151]",6,Invoice/Facture,1364670,Ariana Logistics,19,5,2008,1658,SE:629313,NoChequeNumberField
328,,,Invoice/Facture,14182.88,ENI Tunisia BV Succursale de Tunis,31,12,2008,sol/wl/0385/08,500383,NoChequeNumberField
330,,,Invoice/Facture,4370.00,ENI Tunisia BV Succursale de Tunis,31,12,2008,sol/wt/0380/08,500288,NoChequeNumberField
331,,,Invoice/Facture,22985.00,ENI Tunisia BV Succursale de Tunis,31,12,2008,sol/wt/0378/08,500288,NoChequeNumberField
340,,,Invoice/Facture,11265.00,ENI Tunisia BV Succursale de Tunis,20,11,2008,sol/wl/00350/08,500305,NoChequeNumberField
341,,,Invoice/Facture,4395300,Destination Tourisme & Voyages,29,12,2007,4327,MISSING,NoChequeNumberField
346,[8585],1,Invoice/Facture,69500,Sangho Privilege Tataouine,21,12,2007,3383,MISSING,NoChequeNumberField
348,[8578],1,Invoice/Facture,UNREADABLE,Sangho Privilege Tataouine,18,12,2007,3368,MISSING,NoChequeNumberField
349,"[5183, 13340, 57]",3,Invoice/Facture,700300,Global Metallic Product Industries,4,1,2006,1082,MISSING,NoChequeNumberField
350,"[13762, 15313, 3252, 8942, 2115]",5,Invoice/Facture,180000,Bureau d'Etudes Conseils Techniques,23,1,2007,4868,MISSING,NoChequeNumberField
351,[11285],1,Invoice/Facture,5000300,Total,24,12,2007,425,MISSING,NoChequeNumberField
353,[11206],1,Invoice/Facture,200000,BECT,15,12,2007,5150,MISSING,NoChequeNumberField
360,"[18703, 15564, 17732, 2094, 3213]",5,Invoice/Facture,717329,Macintosh,2,2,2007,FAY002822,MISSING,NoChequeNumberField
364,"[18705, 2093, 17730, 15720, 3218]",5,Invoice/Facture,2283081,Technic Art Papeterie Bureatique Beaux Arts,31,1,2007,FV070118,MISSING,NoChequeNumberField
365,"[18700, 17728, 15612, 3211]",4,Invoice/Facture,1009300,Destination Tourisme & Voyages,16,1,2007,97,MISSING,NoChequeNumberField
366,"[13771, 17715, 15580, 18651]",4,Invoice/Facture,460550,Sheraton Tunis Hotel & Towers,15,1,2007,10607424,MISSING,NoChequeNumberField
370,,,Invoice/Facture,8280.00,Ecumed Petroleum Tunisia LTD,31,12,2007,SOL/WL/0368/07,MISSING,NoChequeNumberField
371,"[13633, 15250, 3179]",3,Invoice/Facture,65300,Map Industries,12,1,2007,07FC000027,MISSING,NoChequeNumberField
373,"[1497, 3341, 9309]",3,Invoice/Facture,1710003,STE d'Hammamet Materiax Construction Bois & Quaincaillerie,10,4,2006,UNREADABLE,MISSING,NoChequeNumberField
374,[13396],1,Receipt,900300,Alexander Car Sarl,26,12,2006,333,NoPurchaseOrderNumberField,NoChequeNumberField
379,,,Invoice/Facture,291300,Destination Tourisme & Voyages,11,11,2008,3754,1255696336602,NoChequeNumberField
380,,,Invoice/Facture,19800300,SLVM,24,10,2008,00066/2008,MISSING,NoChequeNumberField
381,[18233],1,Invoice/Facture,567800,Sangho Privilege Tataouine,24,10,2008,3012,16023012200023,NoChequeNumberField
382,"[19510, 10937]",2,Receipt,370000,Atelier Moderne Fer Forge SLIMI Noureddine,4,10,2008,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
395,,,Invoice/Facture,46510.00,Ecumed Petroleum Tunisia LTD,25,12,2007,SOL/WL/0350/07,EBB-2005-STS/16,NoChequeNumberField
396,,,Invoice/Facture,32435.00,ENI Tunisia BV Succursale de Tunis,25,12,2007,SOL/WT/0337/07,MISSING,NoChequeNumberField
399,[8382],1,Invoice/Facture,12257.50,ENI Tunisia BV Succursale de Tunis,12,11,2007,SOL/WL/0298/07,500305,NoChequeNumberField
400,[8387],1,Invoice/Facture,75196.00,ENI Tunisia BV Succursale de Tunis,12,11,2007,SOL/WT/0293/07,500288,NoChequeNumberField
401,[8341],1,Invoice/Facture,57235.00,ENI Tunisia BV Succursale de Tunis,8,11,2007,SOL/WL/0285/07,MISSING,NoChequeNumberField
402,"[19519, 10696]",2,Invoice/Facture,22475.00,ENI Tunisia BV Succursale de Tunis,30,10,2007,SOL/BHP/0277/07,500042,NoChequeNumberField
403,"[19515, 10712]",2,Invoice/Facture,35370.00,Pioneer Natural Resources Tunisia LTD,22,10,2007,SOL/WT/272/07,MISSING,NoChequeNumberField
404,"[10701, 14971]",2,Invoice/Facture,29140.00,Ecumed Petroleum Grombalia LTD,16,10,2007,SOL/WL/0269/07,MISSING,NoChequeNumberField
405,"[19509, 18890]",2,Invoice/Facture,14992.00,Pioneer Natural Resources Tunisia LTD,10,10,2007,SOL/WL/0265/07,MISSING,NoChequeNumberField
406,"[19500, 19177]",2,Invoice/Facture,13593.50,Pioneer Natural Resources Tunisia LTD,10,10,2007,SOL/WT/0261/07,MISSING,NoChequeNumberField
407,[13052],1,Invoice/Facture,33419.60,Pioneer Natural Resources Tunisia LTD,10,10,2007,SOL/WT/0258/07,MISSING,NoChequeNumberField
408,"[8209, 19176]",2,Invoice/Facture,194090.00,Sodeps Bureau d'Order Central,1,10,2007,SOL/WT/0249/07,ENI500288/09/SOD.017,NoChequeNumberField
409,"[12854, 17916]",2,Invoice/Facture,21345.00,Winstar Tunisia BV,3,9,2007,SOL/WL/0229/07,SLICKLINE SOL/WINSTAR/23/05/2007,NoChequeNumberField
410,[12888],1,Invoice/Facture,14660.00,Winstar Tunisia BV,3,9,2007,SOL/WL/0228/07,SLICKLINE/SOL/WINSTAR/23/05/2007,NoChequeNumberField
411,[12874],1,Invoice/Facture,151685.00,Winstar Tunisia BV,3,9,2007,SOL/WL/0226/07,MISSING,NoChequeNumberField
412,"[8027, 17891]",2,Invoice/Facture,72.00,ENI Tunisia BV Succursale de Tunis,30,8,2007,SOL/WT/0225/07,500055,NoChequeNumberField
414,"[15965, 2536]",2,Invoice/Facture,439031,BSB Automobile SA,20,6,2006,01S1B0602590,MISSING,NoChequeNumberField
416,,,Invoice/Facture,11454.50,ENI Tunisia BV Succursale de Tunis,2,9,2008,SOL/WL/00249/08,500305,NoChequeNumberField
417,[13065],1,Invoice/Facture,690.00,ENI Tunisia BV Succursale de Tunis,2,9,2008,SOL/WT/00243/08,500288,NoChequeNumberField
419,"[19301, 1715, 18702, 7186, 178]",5,Invoice/Facture,3119700,Compagnie Tuniso Koweito Chinoise de Petrole,11,4,2007,SOL/BHP/0075/07,MISSING,NoChequeNumberField
420,[13065],1,Invoice/Facture,690.00,ENI Tunisia BV Succursale de Tunis,2,9,2008,SOL/WT/00243/08,500288,NoChequeNumberField
421,[12872],1,Invoice/Facture,21513.00,ENI Tunisia BV Succursale de Tunis,2,9,2008,SOL/WL/00242/08,500305,NoChequeNumberField
422,"[18636, 4406, 1714]",3,Invoice/Facture,3088000,Pioneer Natural Resources Tunisia LTD,28,3,2007,SOL/WT/0061/07,MISSING,NoChequeNumberField
423,"[18634, 1721]",2,Invoice/Facture,8214050,Pioneer Natural Resources Tunisia LTD,28,3,2007,SOL/WL/0059/07,MISSING,NoChequeNumberField
425,"[3126, 18958, 17936, 15273, 13474]",5,Invoice/Facture,1471750,Tunisiana SA,21,3,2006,222000000056020,MISSING,NoChequeNumberField
426,[17912],1,Invoice/Facture,UNREADABLE,ENI Tunisia BV Succursale de Tunis,18,8,2008,SOL/WT/00230/08,500288,NoChequeNumberField
427,[19328],1,Invoice/Facture,360000,ENI Tunisia BV Succursale de Tunis,13,3,2007,SOL/WT/0053/07,MISSING,NoChequeNumberField
428,"[3491, 17302, 17790, 7138]",4,Invoice/Facture,960000,ENI Tunisia BV Succursale de Tunis,13,3,2007,SOL/WT/0050/07,500055,NoChequeNumberField
429,"[10429, 5007]",2,Invoice/Facture,1380.00,ENI Tunisia BV Succursale de Tunis,24,7,2008,SOL/WT/00217/08,500288,NoChequeNumberField
430,"[10469, 12676, 4991]",3,Invoice/Facture,7575.00,Compagnie Tuniso Koweito Chinoise de Petrole,24,7,2008,SOL/WL/00215/08,MISSING,NoChequeNumberField
431,"[13378, 11496]",2,Receipt,1950,Librairie le Cercle de Saviour,16,1,2003,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
432,"[10504, 12674, 18153]",3,Invoice/Facture,25028.00,ENI Tunisia BV Succursale de Tunis,24,7,2008,SOL/WT/00209/08,500288,NoChequeNumberField
434,[10305],1,Invoice/Facture,4687.52,ENI Tunisia BV Succursale de Tunis,21,7,2008,sol/wl/00202/08,500305,NoChequeNumberField
435,[4999],1,Invoice/Facture,1560.00,Storm Ventures INC,8,7,2008,sol/wt/00200/08,MISSING,NoChequeNumberField
440,"[13978, 1395]",2,Invoice/Facture,37439.00,PA Resources Tunisia Didon Resources LTD,18,3,2008,sol/wl/00060/08,MISSING,NoChequeNumberField
441,"[1407, 13819, 17775]",3,Invoice/Facture,8860.00,Compagnie Tuniso Koweito Chinoise de Petrole,18,3,2008,sol/wl/00058/08,ref.219/2006,NoChequeNumberField
442,"[1556, 17770]",2,Invoice/Facture,20220.00,Sodeps Bureau d'Order Central,14,3,2008,sol/bhp/00055/08,eni500305/09/sod.018,NoChequeNumberField
443,"[13378, 11496]",2,Invoice/Facture,22125.00,Pioneer Natural Resources Tunisia LTD,20,2,2008,sol/wt/00034/08,MISSING,NoChequeNumberField
447,[8327],1,Invoice/Facture,500000,Ben Taleb Hamadi,23,10,2009,85,MISSING,NoChequeNumberField
448,"[3295, 2177, 15582, 17752, 9304, 19231]",6,Invoice/Facture,363300,Les Oliviers Palace,19,2,2008,6976,MISSING,NoChequeNumberField
449,,,Invoice/Facture,7280300,Topnet SA,5,12,2007,115992/07,MISSING,NoChequeNumberField
450,"[17575, 1513, 9314]",3,Invoice/Facture,4200000,MISSING NAME,28,1,2011,211,MISSING,NoChequeNumberField
460,"[9159, 5486]",2,Invoice/Facture,330300,Bureau Plus,26,1,2011,FC75851,MISSING,NoChequeNumberField
462,"[158, 5631, 1673]",3,Receipt,302000,Amor Dellel,22,4,2008,MISSING,NoPurchaseOrderNumberField,NoChequeNumberField
463,"[7804, 12626, 16611, 2935]",4,Invoice/Facture,8540.40,ENI Tunisia BV Succursale de Tunis,10,8,2007,sol/BHP/0193/07,500042,NoChequeNumberField
464,"[1690, 18633]",2,Invoice/Facture,1191500,Publizine,15,4,2008,769,MISSING,NoChequeNumberField
465,"[2085, 12511, 2934]",3,Invoice/Facture,570.00,ENI Tunisia BV Succursale de Tunis,10,8,2007,sol/wl/0186/07,500042,NoChequeNumberField
466,"[10293, 2067, 17382, 402]",4,Invoice/Facture,6241.20,ENI Tunisia BV Succursale de Tunis,10,8,2007,sol/wl/0183/07,500042,NoChequeNumberField
468,"[17525, 11569, 4032, 17958]",4,Invoice/Facture,13175800,Teletec Catering,31,3,2011,FAC-110032,MISSING,NoChequeNumberField
470,"[16879, 3810, 4775, 19399]",4,Invoice/Facture,570.00,ENI Tunisia BV Succursale de Tunis,20,6,2007,sol/wl/0163/07,500042,NoChequeNumberField
471,"[19392, 16894, 4782, 12302, 18795]",5,Invoice/Facture,37631.96,Pioneer Natural Resources Tunisia LTD,8,6,2007,sol/wl/0153/07,MISSING,NoChequeNumberField
472,[11322],1,Invoice/Facture,898800,Destination Tourisme & Voyages,22,11,2007,4223,MISSING,NoChequeNumberField
476,"[15596, 1511, 17284]",3,Invoice/Facture,7192256,Tunisiana SA,28,2,2007,2220000000870320,MISSING,NoChequeNumberField
479,"[12127, 4680]",2,Invoice/Facture,14475.00,Ecumed Petroleum Grombalia LTD,24,5,2007,sol/wl/0133/07,MISSING,NoChequeNumberField
482,"[15431, 3279, 2130, 4066, 9113]",5,Invoice/Facture,6009287,Tunisiana SA,21,2,2007,2220000000842110,MISSING,NoChequeNumberField
483,"[7335, 311, 4624]",3,Invoice/Facture,200.00,ENI Tunisia BV Succursale de Tunis,15,5,2007,sol/wl/0120/07,500042,NoChequeNumberField
487,"[4618, 2638, 18376]",3,Invoice/Facture,33168.50,Pioneer Natural Resources Tunisia LTD,8,5,2007,sol/wl/0109/07,MISSING,NoChequeNumberField
488,"[4617, 19372, 2639]",3,Invoice/Facture,31448.15,NSC Tunisia,7,5,2007,sol/wt/0108/07,MISSING,NoChequeNumberField
490,"[19325, 12032, 7190, 18720, 4416, 2434]",6,Invoice/Facture,17185.00,ENI Tunisia BV Succursale de Tunis,12,4,2007,sol/wt/0084/07,500055,NoChequeNumberField
491,"[18707, 19305, 7176, 2466]",4,Invoice/Facture,3330.00,ENI Tunisia BV Succursale de Tunis,12,4,2007,sol/wt/0079/07,500055,NoChequeNumberField
497,"[5642, 9713, 1818]",3,Invoice/Facture,759538,Societe Tunisienne de l'Electricite du Gaz,25,5,2010,80040173,MISSING,NoChequeNumberField
501,"[19227, 3408, 9175, 2221, 15554, 17739]",6,Invoice/Facture,124905.00,ENI Tunisia BV Succursale de Tunis,18,1,2007,sol/wt/0002/07,500055,NoChequeNumberField
