PacketLabel,MultipartFilenameStub,NumPackets,MaxPages,Description,From page,To page
109,scan1~2013_06_12_15_25_44,1,52,Commentaire  des  dispositions  des  articles  41  a  44  de  la  loi no 2007-70  du  27  decembre  2007  portant  loi  de  finances  pour  lannee  2008,1,52
110,scan1~2013_06_12_15_46_14,1,79,"Expense invoices, purchase incoices, export and transport documents - February to June 2004",1,79
111,scan1~2013_06_15_17_24_25,1,7,Summary and invoices for Economic Auto - 2008,1,7
112,scan1~2013_06_12_10_07_55,1,43,Accounting documents regarding salary Arabic - May 2010,1,43
113,scan1~2013_06_06_19_29_13,1,7,Medical documents and invoices - July 2008,1,7
114,scan1~2013_06_06_11_52_57,1,21,Accounting relating to salaries and deductions - 2007,1,21
115,scan5~evan~2013_06_16_11_35_59,1,47,Bank receipts/notices of credit from Thyna Petroleum Services - 2003,1,47
116,scan1~2013_06_06_10_32_04,1,35,Expense invoices and associated cheques - September 2007,1,35
117,scan1~2013_06_15_12_35_50,1,7,Accounting and invoices for Teletec - 2009,1,7
118,scan1~2013_06_12_16_37_30,1,15,Personnel time sheets and transport documents - 2011,1,15
119,scan1~2013_06_15_12_50_17,1,13,Teletec invoices - June and August 2008,1,31
120,scan1~2013_06_16_17_47_18,1,21,Email communication regarding ordering and manufacture of goods - November/December 2007,1,21
121,scan1~2013_06_15_12_34_07,1,23,Teletec invoices - November 2009,1,23
122,scan1~2013_06_13_10_36_33,1,63,Personnel expense receipts - 2003,1,63
123,scan1~2013_06_11_11_02_55,1,105,"Personnel time sheets, work permission slips, salary payment statements - 2004",1,105
124,scan1~2013_06_08_11_00_00,1,495,"Accounting documents, Customer invoice summaries and payslips - 2007 ",1,495
125,scan1~2013_06_09_10_03_53,1,19,Cheque stubs - December 2004,1,19
126,scan1~2013_06_13_14_32_11,1,125,"Expense claim forms and associated  receipts, Personnel time sheets - June to September 2003",1,125
127,scan4~chequestubs~2013_06_17_14_59_49,1,22,Cheque stubs - September 2011,1,22
128,scan1~2013_06_15_13_26_05,1,9,Economic Auto orders and invoices - July 2011,1,9
129,scan1~2013_06_15_17_18_47,1,5,Economic Auto orders and invoices - April 2009,1,5
130,scan1~2013_06_09_16_52_50,1,23,"Restaurant expense receipts, cheques and compensation documents - June 2010",1,23
131,scan1~2013_06_15_13_23_45,1,6,Economic Auto orders and invoices - August 2011,1,6
132,scan1~2013_06_06_17_47_45,1,22,Expense claim forms - June/July 2008,1,22
133,scan1~2013_06_09_10_59_23,1,44,Cheque stubs with Arabic explanation,1,44
134,scan2~2013_06_21_16_39_03,2,15,"Quotations, purchase orders and invoices For C E Franklin, and Pacific Valve Services - 2012",1,11
135,scan2~2013_06_21_16_39_03,2,15,"Quotations, purchase orders and invoices for Pacific Valve Services - 2012",12,15
136,scan5~evan~2013_06_16_15_19_14,1,20,Hotel expense invoices an accounting summary - June/July 2010,1,20
137,scan1~2013_06_12_14_33_27,1,50,Expense claim forms and associated receipts - July 2004,1,50
138,scan1~2013_06_15_16_52_45,1,6,Economic Auto invoices and account summary - 2008,1,6
139,scan1~evan~2013_06_14_17_52_55,1,31,Contract  between Teexco International and Tradelink Inc. plus Arabic documents - 1998,1,31
140,scan1~2013_06_16_13_03_09,1,13,"Invoices, cheques and payment advices for Meublatex - April 2011",1,13
141,scan1~2013_06_11_17_19_47,1,265,"Invoices for the provision of equipment and personnel, call off order forms, operation log sheets, telecommunication records Tunisia - August/September 2006",1,265
142,scan1~evan~2013_06_14_17_19_37,1,23,Teneur de  lArrete du Ministre des Finances du 23/10/2004,1,23
143,scan1~2013_06_16_13_04_46,1,71,Office electronics expense and other expense invoices - January to April 2001 ,1,71
144,scan1~2013_06_15_17_10_21,1,8,Economic Auto invoices - August/September 2009,1,8
145,scan1~2013_06_21_16_32_00,1,22,Communications and invoices regarding purchases from CE Frankin - June to August 2011 ,1,22
146,scan5~evan~2013_06_16_15_25_51,1,5,Invoices and cheques for Golden Tulip - February 2011,1,5
147,scan5~evan~2013_06_16_12_09_16,1,11,Certificat de retenue d'import sur le revenu ou d'import sur les societes - 2007,1,11
148,scan1~2013_06_13_15_27_24,1,112,Automotive and mechanical expense receipts and invoices - 2003,1,112
149,scan1~2013_06_06_10_49_32,1,14,"Accounting relating to salary, advances, and deductions - 2007 ",1,14
150,scan1~2013_06_06_17_39_08,1,73,"Personnel time sheets, expense claim forms and associated receipts - June/July 2008",1,73
151,scan1~evan~cheques~2013_06_17_15_08_46,1,102,Cheque stubs - June 2011,1,102
152,scan1~2013_06_16_17_03_06,1,188,Accounting regarding salary - 2007,1,188
153,scan1~2013_06_11_16_10_21,1,45,Invoices for provision of equipment in Tunisia - 2001,1,45
154,scan1~2013_06_06_10_30_52,1,11,"Cheques, Payment Orders, Partial Grand Livre Sept 2007",1,11
155,scan1~2013_06_11_15_45_43,1,292,Invoices for provision of equipment and personnel services in Tunisia - 2001,1,292
156,scan1~2013_06_21_16_28_08,1,42,"Quotations, purchase orders and invoices for mechanical parts to Tunisia and Canada - 2011",1,42
157,scan1~2013_06_14_13_35_19,1,20,Personnel time sheets and expense claim forms - 2010,1,20
158,scan1~2013_06_06_19_19_15,1,259,Expense claim forms and associated receipts - August/September 2008,1,259
159,scan5~evan~2013_06_16_13_54_34,1,24,Elmouradi Club Kantori invoices and accounting regarding hotel bookings - 2011,1,24
160,scan5~evan~2013_06_16_13_34_41,1,17,Golden Tulip invoices - June 2010,1,17
161,scan1~2013_06_06_03_00_31,1,14,Invoices and associates cheques for a Tunisian job - October 2007,1,14
162,scan5~evan~2013_06_16_12_41_43,1,5,"Certificat de retenue d'import sur le revenu ou d'import sur les societes, wire transfer - May 2010 ",1,5
163,scan2~2013_06_21_16_29_02,1,34,"Quotes, purchase orders and invoices relating to good purchases for Tunisian job - November 2011",1,34
164,scan1~2013_06_20_18_32_58,1,33,"Quotes, goods reception notes, invoices and shipping declarations for dangerous good (Inc. Lithium batteries and quartz tools) Tunisia - 2011",1,33
165,scan1~2013_06_09_18_23_23,1,35,Accounting and invoices for provision of equipment and personnel by ENI Tunisia and Ecumed - 2005,1,35
166,scan1~2013_06_15_12_07_24,1,47,Teletec invoices - January 2011,1,47
167,scan1~2013_06_12_16_54_32,1,18,Personnel time sheets and expense claim forms - 2011,1,18
168,scan5~evan~2013_06_16_11_58_10,1,6,Certificat de retenue d'import sur le revenu ou d'import sur les societes - July 2008,1,6
169,scan5~evan~2013_06_16_13_21_14,1,9,Golden Tulip invoices - September 2010,1,9
170,scan1~2013_06_09_13_17_51,1,20,Cheque stubs - June 2010,1,20
171,scan1~2013_06_13_15_33_55,1,116,Expense claim forms and associated receipts - July 2003,1,116
172,scan1~2013_06_08_15_18_00,1,84,"BUPA International Group Leavers forms, claims statements and schedules - 2006/07",1,84
173,scan5~evan~2013_06_16_13_17_39,1,8,Golden Tulip invoices - December 2010,1,8
174,scan1~2013_06_12_16_56_23,1,67,"Personnel time sheets, and expense claim forms and associated receipts - 2011",1,67
175,scan5~evan~2013_06_16_12_40_27,1,7,Certificat de retenue d'import sur le revenu ou d'import sur les societes - November 2010,1,7
176,scan1~2013_06_12_15_58_18,1,66,"Golden Tulip reservations and invoices June 2004, purchasing invoices Tunisia - June/July 2004",1,66
177,scan1~2013_06_15_18_18_25,1,36,Economic Auto invoices - January to March 2008,1,36
178,scan1~2013_06_09_10_07_53,1,34,Cheque stubs - February 2010,1,34
179,scan1~2013_06_12_14_19_00,1,31,Expense receipts - August 204,1,31
180,scan1~2013_06_09_11_06_26,1,53,Invoices and associates cheques Tunisia - February/March 2010,1,53
181,scan4~chequestubs~2013_06_17_15_55_56,1,21,Cheque stubs - July 2011,1,21
182,scan1~2013_06_12_12_40_53,1,8,Expense receipts - February 2004,1,8
183,scan1~2013_06_15_17_09_35,1,3,Economic Auto invoices - August 2009,1,3
184,scan1~2013_06_15_18_28_18,1,29,Accounting and invoices for Economic Auto - November/December 2008,1,29
185,scan1~2013_06_12_10_43_57,1,32,Accounting regarding salary - 2009,1,32
186,scan1~2013_06_15_16_01_33,1,29,Economic Auto invoices - September 2010,1,29
187,scan1~2013_06_15_16_56_14,1,7,Economic Auto invoices - April 2009,1,7
188,scan1~2013_06_06_11_49_27,1,5,"CDF invoices, associated cheques and account summary - March 2007",1,5
189,scan4~chequestubs~2013_06_17_16_28_41,1,95,Cheque stubs - August 2011,1,95
190,scan4~chequestubs~2013_06_17_19_56_22,1,131,Cheque stubs - 2009/10,1,131
191,scan1~2013_06_14_13_36_21,1,27,Personnel time sheets and travel expense claim forms and associated receipts - 2010,1,27
192,scan1~2013_06_12_16_41_33,1,30,Travel and supermarket related expense claim forms and associated receipts - 2011,1,30
193,scan1~2013_06_15_18_44_36,1,142,Expenses and invoices relating to a job in Tunisia - September to November 2009,1,142
194,scan1~2013_06_06_10_43_17,1,13,"Expense claim forms, receipts and associated cheques - September 2009",1,13
195,scan1~2013_06_12_11_05_13,1,51,Accounting relating to salary - December 2009,1,51
196,scan1~2013_06_06_16_53_39,1,9,Expense claim form and associated receipts - June 2008,1,9
197,scan1~2013_06_11_17_05_34,1,41,Communication and invoices relating to the provision of equipment and personnel in Tunisia - September/October 2006,1,41
198,scan1~2013_06_08_14_10_10,1,434,"Expense invoices relating to transport and automotive expenses, hotel invoices, product order forms and invoices for equipment Tunisia - December 2006 to February 2007   ",1,434
199,scan5~evan~2013_06_16_12_59_03,1,8,Golden Tulip invoices and summaries - 2010,1,8
200,scan1~2013_06_13_11_45_35,1,23,"Expense receipts, scans of stamps, payment receipts Arabic-October 2003",1,23
201,scan1~2013_06_06_18_21_39,1,13,Expense claim forms and associated receipts - June to August 2008,1,13
202,scan1~2013_06_12_13_11_26,1,3,Expense claim form - June 2004,1,3
203,scan1~2013_06_13_12_38_26,1,61,"Expense claim forms, associate receipts, and accounting summary - June to August 2003",1,61
204,scan5~evan~2013_06_16_11_24_47,1,12,Accounting related to Thyna Petroleum Services - 2011,1,12
205,scan1~2013_06_16_19_01_12,1,188,"Email communication regarding ordering and shipping f goods to Tunisia, purchase orders and invoices for Tunisian job - 2005",1,188
206,scan1~2013_06_12_11_55_24,1,14,Scans of postage stamps,1,14
207,scan1~2013_06_06_12_45_59,1,7,Expense invoices - June 2008,1,7
208,scan1~2013_06_12_16_02_57,1,17,Hotel and travel receipts Tunisia - July 2004,1,17
209,scan1~2013_06_15_13_46_13,1,24,Economic Auto invoices - January/February 2011,1,24
210,scan1~2013_06_13_16_01_43,1,23,Expense claim forms and associated receipts - May 2003,1,23
211,scan5~evan~2013_06_16_16_49_37,1,24,"Purchase orders, invoices and emails regarding the tracking of shipments to Tunisia - September to December 2007",1,24
212,scan1~2013_06_13_16_11_59,1,40,Invoices Sousse Tunisia - May 2003,1,40
213,scan1~2013_06_06_11_50_12,1,5,Expense accounting and related cheques - January to April 2007,1,5
214,scan1~2013_06_06_17_33_20,1,22,Expense claim forms and associated receipts - July 2--8,1,22
215,scan1~2013_06_15_16_08_22,1,16,Economic Auto invoices - May to August 2010,1,16
216,scan1~2013_06_15_17_09_03,1,3,Economic Auto invoices - August 2009,1,3
217,scan1~2013_06_09_12_22_05,1,44,"Accounting relating to salary, and payments for services - 2010",1,44
218,scan1~evan~2013_06_14_17_17_21,2,52,CABINET MAITRE DONIA HEDDA - ELLOUZE AVOCAT A LA COUR DE CASSATION Letter d information 2005.Arabic.,1,29
219,scan1~evan~2013_06_14_17_17_21,2,52,Promulgation de la loi completant et modifiant le Code des Hydrocarbures promulgue par la loi no 99-93 du 17 Aout 1999. Arabic,30,52
220,scan5~evan~2013_06_16_11_30_07,1,5,"Certificat de retenue d'import sur le revenu ou d'import sur les societes, wire transfers - December 2011/January 2012",1,5
221,scan2~2013_06_20_18_07_07,1,295,Quotes and purchase orders for Tunisian job - 2010,1,295
222,scan1~2013_06_12_10_41_41,1,42,Salary declarations - 2009,1,42
223,scan1~2013_06_12_14_44_14,1,51,Personnel files - 2010/2012,1,51
224,scan4~chequestubs~2013_06_17_18_56_32,1,54,Cheque stubs - March 2003,1,54
225,scan5~evan~2013_06_16_13_58_11,1,4,El Mouradi Hotel invoices - May 2011,1,4
226,scan1~2013_06_21_16_38_24,1,26,"Purchase orders for pressure, flame and hydrocarbon detectors and transmitters Tunisia - July 2011 ",1,26
227,scan1~2013_06_11_14_16_35,1,58,Documents in Arabic,1,58
228,scan1~2013_06_15_11_19_48,1,3,Arabic documents,1,3
229,scan5~evan~2013_06_16_15_13_50,1,8,Ambasadeurs Hotel Tunisia invoices - 2010/11,1,8
230,scan1~2013_06_12_14_09_42,1,3,Expense claim form - September 2004,1,3
231,scan1~2013_06_07_12_16_34,1,519,Documents and invoices relating to the purchasing and export/import of goods to Tunisia - 2008,1,519
232,scan1~2013_06_15_13_00_30,1,8,Teletec invoices and summary - November 2010,1,8
233,scan1~2013_06_12_09_51_40,1,24,"Payroll and Salary summaries, documents in Arabic - 2010  ",1,24
234,scan1~2013_06_13_14_00_09,1,92,Expense claim forms and associated receipts - November/December 2003,1,92
235,scan1~evan~2013_06_14_17_35_43,1,8, Demande de prorogation d un agrement RFP 60 - December 2003 & January 2009,1,8
236,scan1~2013_06_12_16_18_36,1,6,Arabic documents,1,6
237,scan1~2013_06_13_13_00_11,1,53,"Expense claim forms, associated receipts, invoices and cheques - September/October 2003 ",1,53
238,scan1~2013_06_20_19_49_02,1,97,Documents and invoices relating to the shipment of good to Tunisia - 2012,1,97
239,scan1~evan~2013_06_14_15_59_44,2,105,Reconciliation of invoices to internal accounting documents - 2010,1,61
240,scan1~evan~2013_06_14_15_59_44,2,105,Reconciliation of invoices to internal accounting documents - 2011,62,105
241,scan1~2013_06_12_16_04_39,1,4,Societe Hotel les Arcades invoices - August 2004,1,4
242,scan1~2013_06_15_12_41_58,1,5,Teletec invoices - March 2009,1,5
243,scan1~2013_06_12_16_53_19,1,13,Personnel time sheets - 2011,1,13
244,scan1~2013_06_06_17_49_04,1,34,Expense claim forms and associated receipts - July 200,1,34
245,scan1~2013_06_15_12_20_36,1,48,Teletec invoices - October 2010,1,50
246,scan1~2013_06_07_16_54_16,1,227,"Invoices relating to provision of equipment and personnel for well testing, call off orders - March to August 2008",1,227
247,scan1~2013_06_16_11_00_47,1,7,Employee CV and training seminar advice - 2009,1,7
248,scan1~2013_06_13_12_32_00,1,30,"Expense claim forms, associated receipts, invoices and cheques - November 2003",1,30
249,scan4~chequestubs~2013_06_17_14_53_04,1,45,Cheque stubs - September 2011,1,45
250,scan1~2013_06_08_11_24_53,3,26,Salaries 2007,1,9
251,scan1~2013_06_08_11_24_53,3,26,Credit Notes,10,12
252,scan1~2013_06_08_11_24_53,3,26,Grand Livre Partiel March 2008,13,26
253,scan1~2013_06_15_12_54_18,1,77,Teletec invoices - March 2008,1,77
254,scan5~evan~2013_06_16_13_37_50,1,4,Golden Tulip invoices - May 2010,1,4
255,scan1~2013_06_12_14_35_17,1,6,Expense receipts - June 2004,1,6
256,scan1~2013_06_16_11_09_29,1,16,Documents relating to Auditor/Lead Auditor Training Health and Safety - 2009,1,16
257,scan1~2013_06_12_13_22_34,1,39,Expense receipts - November 2004,1,39
258,scan1~2013_06_07_10_21_57,1,860,Expense claim forms and associated receipts - September to December 2009,1,860
259,scan5~evan~2013_06_16_13_06_51,1,7,Golden Tulip invoices - July 2011,1,7
260,scan1~2013_06_12_12_30_29,1,7,Expense invoices - February 2004,1,7
261,scan4~chequestubs~2013_06_17_17_06_26,1,70,Cheque stubs - November 2010,1,70
262,scan1~2013_06_13_11_32_14,1,10,Fuel receipts - June 2003,1,10
263,scan1~2013_06_09_11_24_26,1,67,"Accounting relating to expenses, expense invoices and associated cheques, payment orders - January/February 2010 ",1,67
264,scan1~2013_06_20_16_36_22,1,263,Invoices and communications regarding purchasing for Tunisian job - January to October 2009 ,1,263
265,scan5~evan~2013_06_16_11_54_40,1,4,Certificat de retenue d'import sur le revenu ou d'import sur les societes - December 2008,1,4
266,scan1~2013_06_15_18_05_23,1,19,Economic Auto invoices - April 2008,1,19
267,scan1~2013_06_16_12_19_14,1,25,Documents relating to MSA seminar on the Management and Organisation of Stores - 2009,1,25
268,scan1~evan~2013_06_14_17_24_08,1,35,"Accounting documents relating to the reconciliation of accounts with invoices, activity logs and servicing orders - 2011 to 2012",1,35
269,scan1~2013_06_06_17_30_20,1,27,"Expense claim forms, expense summaries and related receipts - May/June 2008",1,27
270,scan1~2013_06_06_10_42_06,1,12,Invoices' relating to office equipment - September 2007,1,12
271,scan5~evan~2013_06_16_11_32_04,1,5,Communication and bank documents relating to rejected Thyna Petroleum Services invoices - October 2011,1,5
272,scan1~2013_06_20_19_23_53,1,197,"Invoices and documents relating to purchasing, shipping and repairs - 2012",1,197
273,scan1~2013_06_07_17_39_51,1,26,Expense invoices September/October 2008,1,26
274,scan1~2013_06_12_17_22_29,1,11,Personnel time sheets - 2011,1,11
275,scan1~2013_06_09_16_46_20,2,132,Cheque stubs - June/July 2010. ,1,90
276,scan1~2013_06_09_16_46_20,2,132,Accounting relating to salary and deductions - June/July 2010,91,132
277,scan1~2013_06_09_15_34_47,1,14,"Invoices, tax withheld documents, and related cheques - May/June 2010",1,14
278,scan1~2013_06_12_13_07_22,1,3,Expense claim forms - May 2004,1,3
279,scan5~evan~2013_06_16_13_12_52,1,11,Golden Tulip invoices - March 2011,1,11
280,scan2~2013_06_20_19_24_33,1,476,"Communications regarding purchasing and freight, invoices', export and shipping documents Tunisia - 2011",1,476
281,scan1~2013_06_06_17_53_41,1,38,Expense claim forms and associated receipts - July 2008,1,38
