TransactionIndex,AlbarakaIndex,Number of ALB Indexes,GrandeLivreIndex,Number of GL Indexes,Date Discrepancy,Amount,Amount Discrepancy,Post Day,Post Month,Post Year,Value Day,Value Month,Value Year,libdesc,reftran,Bank Account,Bank Name,Bank Currency
43,[43],1,[15145],1,0,-898.613,,30,12,2008,30,12,2008,paiementcheque,2604006,0007881190056211,TND Sodeps,TND
44,[44],1,[15143],1,1,-840.0,,31,12,2008,31,12,2008,paiementcheque,2604004,0007881190056211,TND Sodeps,TND
45,[45],1,[15142],1,1,-428.278,,31,12,2008,31,12,2008,paiementcheque,2604003,0007881190056211,TND Sodeps,TND
46,[46],1,[15147],1,0,-51515.761,,31,12,2008,31,12,2008,paiementcheque,2604007,0007881190056211,TND Sodeps,TND
47,[47],1,[15152],1,0,-782.0,,05,01,2009,05,01,2009,paiementcheque,2603963,0007881190056211,TND Sodeps,TND
48,[48],1,[15154],1,0,-1567.5,,05,01,2009,05,01,2009,paiementcheque,2603962,0007881190056211,TND Sodeps,TND
49,[49],1,[15151],1,0,-1000.0,,05,01,2009,05,01,2009,paiementcheque,2603964,0007881190056211,TND Sodeps,TND
50,[50],1,[15157],1,0,910.0,,06,01,2009,06,01,2009,encaissement,226028,0007881190056211,TND Sodeps,TND
51,[51],1,[15158],1,0,-0.6,,06,01,2009,06,01,2009,commission,226028,0007881190056211,TND Sodeps,TND
52,[52],1,[15144],1,8,-77.6,,07,01,2009,07,01,2009,paiementcheque,2604005,0007881190056211,TND Sodeps,TND
53,[53],1,[15153],1,2,-37.5,,07,01,2009,07,01,2009,paiementcheque,2603961,0007881190056211,TND Sodeps,TND
54,[54],1,[15156],1,1,-1582.725,,07,01,2009,07,01,2009,paiementcheque,2603965,0007881190056211,TND Sodeps,TND
55,[55],1,[15159],1,2,-81.381,,08,01,2009,08,01,2009,paiementcheque,2603966,0007881190056211,TND Sodeps,TND
56,[56],1,[15165],1,-1,-2000.0,,08,01,2009,08,01,2009,paiementcheque,2603973,0007881190056211,TND Sodeps,TND
57,[57],1,[15161],1,0,-761.3,,08,01,2009,08,01,2009,paiementcheque,2603968,0007881190056211,TND Sodeps,TND
58,[58],1,[15167],1,-1,-160.0,,08,01,2009,08,01,2009,paiementcheque,2603972,0007881190056211,TND Sodeps,TND
59,[59],1,[15160],1,1,-240.0,,08,01,2009,08,01,2009,paiementcheque,2603967,0007881190056211,TND Sodeps,TND
60,[60],1,[15149],1,7,-10575.0,,09,01,2009,09,01,2009,paiementcheque,2604008,0007881190056211,TND Sodeps,TND
61,[61],1,[15169],1,3,-666.9,,12,01,2009,12,01,2009,paiementcheque,2603974,0007881190056211,TND Sodeps,TND
62,[62],1,[15150],1,11,-2520.0,,13,01,2009,13,01,2009,paiementcheque,2604009,0007881190056211,TND Sodeps,TND
63,[63],1,[15155],1,8,-2160.0,,13,01,2009,13,01,2009,paiementcheque,2603960,0007881190056211,TND Sodeps,TND
64,[64],1,[15166],1,5,-17076.0,,14,01,2009,14,01,2009,paiementcheque,2603976,0007881190056211,TND Sodeps,TND
65,[65],1,[15162],1,6,-324.3,,15,01,2009,15,01,2009,paiementcheque,2603979,0007881190056211,TND Sodeps,TND
66,[66],1,[15170],1,0,-47305.91,,19,01,2009,19,01,2009,paiementcheque,2603980,0007881190056211,TND Sodeps,TND
67,[67],1,[15164],1,11,-14641.641,,20,01,2009,20,01,2009,paiementcheque,2603977,0007881190056211,TND Sodeps,TND
68,[68],1,[15171],1,1,-4500.0,,21,01,2009,21,01,2009,paiementcheque,2603981,0007881190056211,TND Sodeps,TND
69,[69],1,[15173],1,0,-80.0,,22,01,2009,22,01,2009,paiementcheque,2603983,0007881190056211,TND Sodeps,TND
70,[70],1,[15172],1,0,-1255.48,,22,01,2009,22,01,2009,paiementcheque,2603982,0007881190056211,TND Sodeps,TND
71,[71],1,[15163],1,19,-677.964,,28,01,2009,28,01,2009,paiementcheque,2603978,0007881190056211,TND Sodeps,TND
72,[72],1,[15168],1,24,-767.22,,02,02,2009,02,02,2009,paiementcheque,2603970,0007881190056211,TND Sodeps,TND
73,[73],1,[15174],1,8,-484.4,,05,02,2009,05,02,2009,paiementcheque,2603984,0007881190056211,TND Sodeps,TND
74,"[74, 75]",2,[],0,7,-5.0,,24,05,2010,31,05,2010,ANNPAIR,,0007881190056211,TND Sodeps,TND
75,"[76, 77]",2,[],0,14,0.9,,31,05,2010,14,06,2010,ANNPAIR,,0007881190056211,TND Sodeps,TND
76,[78],1,[14974],1,0,2195.109,,22,12,2011,22,12,2011,virementrecu,,0007881190056211,TND Sodeps,TND
77,[79],1,[14975],1,1,-2652.0,,29,12,2011,29,12,2011,virtemiscomp,,0007881190056211,TND Sodeps,TND
78,[80],1,[14977],1,6,-360.0,,11,01,2012,11,01,2012,paiementcheque,3163741,0007881190056211,TND Sodeps,TND
79,[81],1,[14979],1,0,500.0,,11,01,2012,11,01,2012,virement,,0007881190056211,TND Sodeps,TND
80,[82],1,[14978],1,15,-55.4,,20,01,2012,20,01,2012,paiementcheque,3163742,0007881190056211,TND Sodeps,TND
81,[83],1,[14980],1,-1,2101.982,,12,03,2012,12,03,2012,virementrecu,,0007881190056211,TND Sodeps,TND
82,"[84, 85]",2,[14981],1,1,-9.44,,30,03,2012,01,04,2012,Bank Charge 1,,0007881190056211,TND Sodeps,TND
83,[86],1,[14982],1,0,5879.28,,11,06,2012,11,06,2012,virementrecu,,0007881190056211,TND Sodeps,TND
84,"[87, 88]",2,[14983],1,1,-9.44,,29,06,2012,01,07,2012,Bank Charge 1,,0007881190056211,TND Sodeps,TND
85,"[89, 90]",2,[14984],1,0,-9.44,,28,09,2012,01,10,2012,Bank Charge 1,,0007881190056211,TND Sodeps,TND
86,[91],1,[],0,0,-1.44,,31,12,2012,01,01,2013,tva,,0007881190056211,TND Sodeps,TND
87,[92],1,[],0,0,-8.0,,31,12,2012,01,01,2013,fraisdetenuedel,,0007881190056211,TND Sodeps,TND
88,[93],1,[],0,0,0.0,,23,4,2010,23,4,2010,initial balance,,0007881190056212,MARETAP,TND
89,[94],1,[],0,0,12520.03,,26,04,2010,26,04,2010,CLUSTERFUCK2:12520.03,,0007881190056212,MARETAP,TND
90,"[95, 96]",2,[],0,7,-5.0,,24,05,2010,31,05,2010,ANNPAIR,,0007881190056212,MARETAP,TND
91,"[97, 99]",2,[],0,14,0.9,,31,05,2010,14,06,2010,ANNPAIR,,0007881190056212,MARETAP,TND
92,[98],1,[14633],1,0,-1800.0,,14,06,2010,14,06,2010,paiementcheque,,0007881190056212,MARETAP,TND
93,[100],1,[14635],1,2,-802.6,,16,06,2010,16,06,2010,paiementcheque,,0007881190056212,MARETAP,TND
94,[101],1,[14634],1,3,-3420.3,,17,06,2010,17,06,2010,paiementcheque,,0007881190056212,MARETAP,TND
95,[102],1,[14636],1,9,-1891.775,,23,06,2010,23,06,2010,paiementcheque,,0007881190056212,MARETAP,TND
96,[103],1,[14637],1,0,21342.873,,20,08,2010,20,08,2010,virementrecu,,0007881190056212,MARETAP,TND
97,[104],1,[14638],1,4,3537.814,,07,09,2010,07,09,2010,encaissement,2069784,0007881190056212,MARETAP,TND
98,[105],1,[14639],1,4,-0.6,,07,09,2010,07,09,2010,commission,2069784,0007881190056212,MARETAP,TND
99,[106],1,[14641],1,0,-250.0,,28,09,2010,28,09,2010,paiementcheque,3163696,0007881190056212,MARETAP,TND
100,[107],1,[14642],1,0,-2000.0,,28,09,2010,28,09,2010,paiementcheque,3163697,0007881190056212,MARETAP,TND
101,[108],1,[14640],1,0,-800.0,,28,09,2010,28,09,2010,paiementcheque,3163695,0007881190056212,MARETAP,TND
102,[109],1,[14645],1,0,-6828.22,,29,09,2010,29,09,2010,paiementcheque,3163700,0007881190056212,MARETAP,TND
103,[110],1,[14643],1,5,-598.9,,04,10,2010,04,10,2010,paiementcheque,3163698,0007881190056212,MARETAP,TND
104,[111],1,[14646],1,5,-137.6,,04,10,2010,04,10,2010,paiementcheque,3163701,0007881190056212,MARETAP,TND
105,[112],1,[14644],1,6,-4279.816,,05,10,2010,05,10,2010,paiementcheque,3163699,0007881190056212,MARETAP,TND
106,[113],1,[14647],1,7,-1000.0,,06,10,2010,06,10,2010,paiementcheque,3163702,0007881190056212,MARETAP,TND
107,[114],1,[14648],1,6,-344.009,,15,11,2010,15,11,2010,paiementcheque,3163703,0007881190056212,MARETAP,TND
116,[123],1,[14652],1,4,-177.3,,07,10,2011,07,10,2011,paiementcheque,3163704,0007881190056212,MARETAP,TND
117,[124],1,[14654],1,0,140398.8,,15,03,2012,15,03,2012,virementrecu,,0007881190056212,MARETAP,TND
118,[125],1,[14660],1,1,-6000.0,,16,03,2012,16,03,2012,paiementcheque,3163713,0007881190056212,MARETAP,TND
119,[126],1,[14659],1,1,-15391.749,,16,03,2012,16,03,2012,paiementcheque,3163712,0007881190056212,MARETAP,TND
120,[127],1,[14658],1,1,-30000.0,,16,03,2012,16,03,2012,paiementcheque,3163711,0007881190056212,MARETAP,TND
121,[128],1,[14656],1,4,-1080.0,,19,03,2012,19,03,2012,paiementcheque,3163707,0007881190056212,MARETAP,TND
122,[129],1,[14655],1,4,-7353.745,,19,03,2012,19,03,2012,paiementcheque,3163706,0007881190056212,MARETAP,TND
123,[130],1,[14657],1,4,-1840.834,,19,03,2012,19,03,2012,paiementcheque,3163710,0007881190056212,MARETAP,TND
124,[131],1,[14661],1,2,-1250.0,,21,03,2012,21,03,2012,paiementcheque,3163714,0007881190056212,MARETAP,TND
125,[132],1,[14662],1,0,-14514.0,,26,03,2012,26,03,2012,paiementcheque,3163715,0007881190056212,MARETAP,TND
126,[133],1,[14664],1,0,-418.8,,27,03,2012,27,03,2012,paiementcheque,3163717,0007881190056212,MARETAP,TND
127,[134],1,[14663],1,1,-12000.0,,27,03,2012,27,03,2012,paiementcheque,3163716,0007881190056212,MARETAP,TND
128,"[135, 136]",2,[14667],1,1,-9.44,,30,03,2012,01,04,2012,Bank Charge 1,,0007881190056212,MARETAP,TND
129,[137],1,[14666],1,6,-600.3,,02,04,2012,02,04,2012,paiementcheque,3163719,0007881190056212,MARETAP,TND
130,[138],1,[14665],1,14,-61.655,,10,04,2012,10,04,2012,paiementcheque,3163718,0007881190056212,MARETAP,TND
131,[139],1,[14669],1,0,-10000.0,,24,05,2012,24,05,2012,paiementcheque,3163722,0007881190056212,MARETAP,TND
132,[140],1,[14670],1,0,-14868.0,,25,05,2012,25,05,2012,paiementcheque,3163723,0007881190056212,MARETAP,TND
133,[141],1,[14668],1,1,-1231.429,,25,05,2012,25,05,2012,paiementcheque,3163721,0007881190056212,MARETAP,TND
134,[142],1,[14677],1,1,-10480.317,,30,05,2012,30,05,2012,paiementcheque,3163725,0007881190056212,MARETAP,TND
135,[143],1,[14676],1,2,-300.3,,31,05,2012,31,05,2012,paiementcheque,3163724,0007881190056212,MARETAP,TND
136,[144],1,[14674],1,4,-1316.3,,01,06,2012,01,06,2012,paiementcheque,3163729,0007881190056212,MARETAP,TND
137,[145],1,[14675],1,4,-280.3,,01,06,2012,01,06,2012,paiementcheque,3163730,0007881190056212,MARETAP,TND
138,[146],1,[14673],1,4,-2219.72,,01,06,2012,01,06,2012,paiementcheque,3163728,0007881190056212,MARETAP,TND
139,[147],1,[14680],1,3,-2047.372,,01,06,2012,01,06,2012,paiementcheque,3163733,0007881190056212,MARETAP,TND
140,[148],1,[14678],1,3,-1500.3,,01,06,2012,01,06,2012,paiementcheque,3163731,0007881190056212,MARETAP,TND
141,[149],1,[14685],1,0,10000.0,,04,06,2012,04,06,2012,virement,,0007881190056212,MARETAP,TND
142,[150],1,[14679],1,6,-1970.0,,04,06,2012,04,06,2012,paiementcheque,3163732,0007881190056212,MARETAP,TND
143,[151],1,[14683],1,7,-3236.07,,05,06,2012,05,06,2012,paiementcheque,3163736,0007881190056212,MARETAP,TND
144,[152],1,[14684],1,7,-4750.0,,05,06,2012,05,06,2012,paiementcheque,3163738,0007881190056212,MARETAP,TND
145,[153],1,[14682],1,8,-370.3,,06,06,2012,06,06,2012,paiementcheque,3163735,0007881190056212,MARETAP,TND
146,[154],1,[14671],1,10,-543.513,,07,06,2012,07,06,2012,paiementcheque,3163726,0007881190056212,MARETAP,TND
147,[155],1,[14681],1,28,-3329.399,,26,06,2012,26,06,2012,paiementcheque,3163734,0007881190056212,MARETAP,TND
148,[156],1,[14672],1,29,-816.6,,26,06,2012,26,06,2012,paiementcheque,3163727,0007881190056212,MARETAP,TND
149,"[157, 158]",2,[14686],1,1,-9.44,,29,06,2012,01,07,2012,Bank Charge 1,,0007881190056212,MARETAP,TND
150,"[159, 160]",2,[14687],1,0,-9.44,,28,09,2012,01,10,2012,Bank Charge 1,,0007881190056212,MARETAP,TND
151,[161],1,[],0,0,-1.44,,31,12,2012,01,01,2013,tva,,0007881190056212,MARETAP,TND
152,[162],1,[],0,0,-8.0,,31,12,2012,01,01,2013,fraisdetenuedel,,0007881190056212,MARETAP,TND
153,[163],1,[],0,0,46526.873,,26,04,2010,26,04,2010,CLUSTERFUCK5:46526.873,,0007881190056213,TND TPS,TND
154,[164],1,[13814],1,7,-697.38,,26,04,2010,26,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
155,[165],1,[13815],1,5,-5000.0,,26,04,2010,26,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
156,[166],1,[13821],1,3,-354.3,,26,04,2010,26,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
157,[167],1,[13836],1,4,-1182.0,,27,04,2010,27,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
158,[168],1,[13818],1,4,-718.0,,27,04,2010,27,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
159,[169],1,[13834],1,4,-401.03,,27,04,2010,27,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
160,[170],1,[13822],1,5,-205.466,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
161,[171],1,[13819],1,5,-217.3,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
162,[172],1,[13820],1,5,-400.3,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
163,[173],1,[13837],1,5,-265.702,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
164,[174],1,[13824],1,5,-200.0,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
165,[175],1,[13823],1,5,-200.3,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
166,[176],1,[13831],1,5,-477.232,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
167,[177],1,[13839],1,5,-275.0,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
168,[178],1,[13826],1,5,-1372.928,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
169,[179],1,[13827],1,5,-333.899,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
170,[180],1,[13825],1,5,-1949.709,,28,04,2010,28,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
171,[181],1,[13832],1,6,-902.528,,29,04,2010,29,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
172,[182],1,[13835],1,7,-2955.0,,30,04,2010,30,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
173,[183],1,[13844],1,0,-2708.75,,30,04,2010,30,04,2010,paiementcheque,,0007881190056213,TND TPS,TND
174,[184],1,[13817],1,11,-8000.0,,03,05,2010,03,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
175,[185],1,[13829],1,10,-300.308,,03,05,2010,03,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
176,[186],1,[13845],1,3,-821.858,,03,05,2010,03,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
177,[187],1,[13830],1,10,-66.3,,03,05,2010,03,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
178,[188],1,[13838],1,10,-1046.67,,03,05,2010,03,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
179,[189],1,[13816],1,11,-5700.3,,03,05,2010,03,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
180,[190],1,[13847],1,2,-2394.3,,04,05,2010,04,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
181,[191],1,[13849],1,1,-150.0,,04,05,2010,04,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
182,[192],1,[13850],1,1,-402.5,,04,05,2010,04,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
183,[193],1,[13840],1,12,-1840.3,,05,05,2010,05,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
184,[194],1,[13848],1,3,-2421.636,,06,05,2010,06,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
185,[195],1,[13843],1,13,-2336.637,,12,05,2010,12,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
186,"[196, 203]",2,[],0,4,-229.24,,13,05,2010,17,05,2010,ANNPAIR,,0007881190056213,TND TPS,TND
187,[197],1,[13852],1,0,6000.0,,17,05,2010,17,05,2010,virement,,0007881190056213,TND TPS,TND
188,[198],1,[13833],1,24,-164.013,,17,05,2010,17,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
189,[199],1,[13842],1,19,-2462.8,,17,05,2010,17,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
190,[200],1,[13846],1,17,-800.0,,17,05,2010,17,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
191,[201],1,[13853],1,0,5000.0,,17,05,2010,17,05,2010,virement,,0007881190056213,TND TPS,TND
192,[202],1,[13841],1,24,-2680.3,,17,05,2010,17,05,2010,paiementcheque,,0007881190056213,TND TPS,TND
193,[204],1,[13854],1,0,-5.0,,17,05,2010,17,05,2010,frais,3163625,0007881190056213,TND TPS,TND
194,[205],1,[13855],1,0,-30.0,,17,05,2010,17,05,2010,commission,3163625,0007881190056213,TND TPS,TND
195,[206],1,[13851],1,14,-1597.026,,17,05,2010,17,05,2010,paiementpreavis,3163625,0007881190056213,TND TPS,TND
196,[207],1,[13857],1,-4,128550.806,,20,05,2010,20,05,2010,virement,,0007881190056213,TND TPS,TND
197,[208],1,[13858],1,0,18402.295,,24,05,2010,24,05,2010,virementrecu,,0007881190056213,TND TPS,TND
198,[209],1,[13859],1,0,-5.0,,24,05,2010,24,05,2010,commission,,0007881190056213,TND TPS,TND
199,[210],1,[],0,0,150438.202,,20,5,2010,20,5,2010,initial balance,,0007881190056213,TND TPS,TND
200,[211],1,[13828],1,33,-1030.92,,26,05,2010,26,05,2010,paiementcheque,3163605,0007881190056213,TND TPS,TND
306,[317],1,[13860],1,7,5.0,,31,05,2010,31,05,2010,virement,,0007881190056213,TND TPS,TND
307,[318],1,[13861],1,7,0.9,,31,05,2010,31,05,2010,virement,,0007881190056213,TND TPS,TND
308,[319],1,[13863],1,0,2000.0,,01,06,2010,01,06,2010,virement,,0007881190056213,TND TPS,TND
309,[320],1,[13864],1,0,7142.415,,10,06,2010,10,06,2010,virementrecu,,0007881190056213,TND TPS,TND
310,[321],1,[13856],1,22,7795.823,,11,06,2010,11,06,2010,virement,,0007881190056213,TND TPS,TND
311,[322],1,[13871],1,0,-140.7,,14,06,2010,14,06,2010,paiementcheque,3163636,0007881190056213,TND TPS,TND
312,[323],1,[13865],1,0,-372.6,,14,06,2010,14,06,2010,paiementcheque,3163630,0007881190056213,TND TPS,TND
313,[324],1,[13866],1,0,-511.7,,14,06,2010,14,06,2010,paiementcheque,3163631,0007881190056213,TND TPS,TND
314,[325],1,[13869],1,0,-197.36,,14,06,2010,14,06,2010,paiementcheque,3163634,0007881190056213,TND TPS,TND
315,[326],1,[13868],1,0,-298.7,,14,06,2010,14,06,2010,paiementcheque,3163633,0007881190056213,TND TPS,TND
316,[327],1,[13870],1,0,-149.0,,14,06,2010,14,06,2010,paiementcheque,3163635,0007881190056213,TND TPS,TND
317,[328],1,[13867],1,0,-89.7,,14,06,2010,14,06,2010,paiementcheque,3163632,0007881190056213,TND TPS,TND
318,[329],1,[13874],1,5,-12271.932,,02,08,2010,02,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
319,[330],1,[13873],1,6,-800.3,,03,08,2010,03,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
320,[331],1,[13872],1,6,-1160.0,,03,08,2010,03,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
321,[332],1,[13875],1,0,-662.52,,09,08,2010,09,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
322,[333],1,[13879],1,0,-100.0,,11,08,2010,11,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
323,[334],1,[13878],1,0,-150.0,,11,08,2010,11,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
324,[335],1,[13877],1,0,-189.1,,11,08,2010,11,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
325,[336],1,[13876],1,0,-180.0,,11,08,2010,11,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
326,[337],1,[13881],1,8,-209.0,,24,08,2010,24,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
327,[338],1,[13880],1,9,-860.7,,25,08,2010,25,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
328,[339],1,[13882],1,6,-1559.3,,26,08,2010,26,08,2010,paiementcheque,,0007881190056213,TND TPS,TND
329,[340],1,[13883],1,-8,13367.882,,05,10,2010,05,10,2010,virementrecu,,0007881190056213,TND TPS,TND
330,[341],1,[13884],1,-1,15897.87,,11,11,2010,11,11,2010,virementrecu,,0007881190056213,TND TPS,TND
350,[361],1,[13886],1,0,7233.688,,21,12,2010,21,12,2010,virementrecu,,0007881190056213,TND TPS,TND
351,[362],1,[13887],1,0,6840.286,,27,12,2010,27,12,2010,virementrecu,,0007881190056213,TND TPS,TND
360,"[371, 378]",2,[],0,0,-1652.0,,03,02,2011,03,02,2011,ANNPAIR,,0007881190056213,TND TPS,TND
361,"[372, 377]",2,[],0,0,-902.0,,03,02,2011,03,02,2011,ANNPAIR,,0007881190056213,TND TPS,TND
368,[381],1,[13890],1,0,4522.78,,28,02,2011,28,02,2011,virementrecu,,0007881190056213,TND TPS,TND
369,[382],1,[13891],1,0,23363.5,,25,03,2011,25,03,2011,virementrecu,,0007881190056213,TND TPS,TND
370,[383],1,[13892],1,0,7307.254,,25,04,2011,25,04,2011,virementrecu,,0007881190056213,TND TPS,TND
371,[384],1,[13893],1,0,13777.365,,11,05,2011,11,05,2011,virementrecu,,0007881190056213,TND TPS,TND
372,[385],1,[13894],1,0,6939.109,,02,06,2011,02,06,2011,virementrecu,,0007881190056213,TND TPS,TND
373,[386],1,[13895],1,0,494.428,,16,06,2011,16,06,2011,virementrecu,,0007881190056213,TND TPS,TND
